The preprocessed data already exists, skip the preprocess stage!
Train Epoch 0 | class 1 | precision:0.3262 | recall: 0.2860 | f1: 0.3047
Eval Epoch 0 | class 1 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
###################Epoch 0 Test###################
  Test | Time 37 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 38 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 39 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 40 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 41 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 42 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 0 | class 1 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
Train Epoch 1 | class 1 | precision:0.4123 | recall: 0.4449 | f1: 0.4280
Eval Epoch 1 | class 1 | precision:0.5953 | recall: 0.4554 | f1: 0.5161
###################Epoch 1 Test###################
  Test | Time 37 | precision:0.4286 | recall: 0.1500 | f1: 0.2222
  Test | Time 38 | precision:0.6296 | recall: 0.1532 | f1: 0.2464
  Test | Time 39 | precision:0.5517 | recall: 0.1975 | f1: 0.2909
  Test | Time 40 | precision:0.1429 | recall: 0.0089 | f1: 0.0168
  Test | Time 41 | precision:0.5926 | recall: 0.1379 | f1: 0.2238
  Test | Time 42 | precision:0.7647 | recall: 0.1632 | f1: 0.2690
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 1 | class 1 | precision:0.5337 | recall: 0.1094 | f1: 0.1816
Train Epoch 2 | class 1 | precision:0.5297 | recall: 0.4368 | f1: 0.4788
